# Generated by workflow/scripts/update_genomes.py from the Ensembl FTP listings.
# Do not edit by hand - rerun the script instead.
# Columns: release,species,common name,genome assembly
release-116,dipodomys_ordii,kangaroo rat,Dord_2.0
release-116,dromaius_novaehollandiae,emu,droNov1
release-116,echeneis_naucrates,live sharksucker,fEcheNa1.1
release-116,echinops_telfairi,lesser hedgehog tenrec,TENREC
release-116,electrophorus_electricus,electric eel,fEleEle1.pri
release-116,eptatretus_burgeri,hagfish,Eburgeri_3.2
release-116,equus_asinus,donkey,ASM1607732v2
release-116,equus_asinus_gca041296235v2,donkey (equass-t2t_v2),EquAss-T2T_v2
release-116,equus_caballus,horse,EquCab3.0
release-116,erinaceus_europaeus,hedgehog,HEDGEHOG
release-116,erpetoichthys_calabaricus,reedfish,fErpCal1.1
release-116,erythrura_gouldiae,gouldian finch,GouldianFinch
release-116,esox_lucius,northern pike,fEsoLuc1.pri
release-116,falco_tinnunculus,common kestrel,FalTin1.0
release-116,felis_catus,domestic cat,F.catus_Fca126_mat1.0
release-116,felis_catus_abyssinian,cat - abyssinian,Felis_catus_9.0
release-116,ficedula_albicollis,collared flycatcher,FicAlb1.5
release-116,fukomys_damarensis,damara mole rat,DMR_v1.0
release-116,fundulus_heteroclitus,mummichog,Fundulus_heteroclitus-3.0.2
release-116,gadus_morhua,atlantic cod,gadMor3.0
release-116,gadus_morhua_gca010882105v1,gadus morhua (celtic sea) - gca_010882105.1,gadMor_Celtic
release-116,gallus_gallus,chicken,bGalGal1.mat.broiler.GRCg7b
release-116,gallus_gallus_gca000002315v5,chicken (red jungle fowl),GRCg6a
release-116,gallus_gallus_gca016700215v2,chicken (paternal white leghorn layer),bGalGal1.pat.whiteleghornlayer.GRCg7w
release-116,gambusia_affinis,western mosquitofish,ASM309773v1
release-116,gasterosteus_aculeatus,stickleback,GAculeatus_UGA_version5
release-116,gasterosteus_aculeatus_gca006229185v1,three-spined sticklebacki - freshwater bot,BOT
release-116,gasterosteus_aculeatus_gca006232265v1,three-spined sticklebacki - marine bam,BAM
release-116,gasterosteus_aculeatus_gca006232285v1,three-spined sticklebacki - marine syl,SYL
release-116,geospiza_fortis,medium ground-finch,GeoFor_1.0
release-116,gopherus_agassizii,agassiz's desert tortoise,ASM289641v1
release-116,gopherus_evgoodei,goodes thornscrub tortoise,rGopEvg1_v1.p
release-116,gorilla_gorilla,gorilla,gorGor4
release-116,gouania_willdenowi,blunt-snouted clingfish,fGouWil2.1
release-116,haplochromis_burtoni,burton's mouthbrooder,AstBur1.0
release-116,heterocephalus_glaber_female,naked mole-rat female,Naked_mole-rat_maternal
release-116,heterocephalus_glaber_male,naked mole-rat male,Naked_mole-rat_paternal
release-116,hippocampus_comes,tiger tail seahorse,H_comes_QL1_v1
release-116,homo_sapiens,human,GRCh38
release-116,hucho_hucho,huchen,ASM331708v1
release-116,ictalurus_punctatus,channel catfish,ASM400665v3
release-116,ictidomys_tridecemlineatus,squirrel,SpeTri2.0
release-116,jaculus_jaculus,lesser egyptian jerboa,JacJac1.0
release-116,junco_hyemalis,dark-eyed junco,ASM382977v1
release-116,kryptolebias_marmoratus,mangrove rivulus,ASM164957v1
release-116,labrus_bergylta,ballan wrasse,BallGen_V1
release-116,larimichthys_crocea,large yellow croaker,L_crocea_2.0
release-116,lates_calcarifer,barramundi perch,ASB_HGAPassembly_v1
release-116,laticauda_laticaudata,blue-ringed sea krait,latLat_1.0
release-116,latimeria_chalumnae,coelacanth,LatCha1
release-116,lepidothrix_coronata,blue-crowned manakin,Lepidothrix_coronata-1.0
release-116,lepisosteus_oculatus,spotted gar,LepOcu1
release-116,leptobrachium_leishanense,leishan spiny toad,ASM966780v1
release-116,lonchura_striata_domestica,bengalese finch,LonStrDom1
release-116,loxodonta_africana,elephant,loxAfr3
release-116,lynx_canadensis,canada lynx,mLynCan4_v1.p
release-116,macaca_fascicularis,crab-eating macaque,Macaca_fascicularis_6.0
